[2016/12/15 11:32:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 11:40:53]结果:执行加拿大28异常：远程服务器返回错误: (500) 内部服务器错误。
[2016/12/15 11:40:53]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 11:40:53]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:01:30]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:04:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:04:10]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:04:20]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:04:30]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:04:40]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:04:50]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:05:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:05:10]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:05:20]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:05:30]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:05:40]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:05:50]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:06:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:06:10]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:06:30]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:06:40]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:06:50]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:07:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:07:10]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:07:20]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:07:30]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:07:40]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 12:08:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:04:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:04:10]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:04:20]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:04:30]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:04:40]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:04:50]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:05:00]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:05:10]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:05:20]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:05:30]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
[2016/12/15 13:05:40]结果:执行加拿大28异常：Unexpected character encountered while parsing value: 访. Path '', line 0, position 0.
